Date,Average Difficulty,Active Addresses Count,Average Transaction Fees,Transactions Count,Block Count,Block Size (bytes)
2017-11-09,1.42E+15,243554,0.222171423,467172,6195,86289173
2017-11-10,1.43E+15,233966,0.19108772,457427,6300,84500680
2017-11-11,1.44E+15,194696,0.186744254,394378,6267,79370301
2017-11-12,1.49E+15,213315,0.210592389,434380,6245,82639583
2017-11-13,1.46E+15,214384,0.220279448,443176,6225,89907928
2017-11-14,1.45E+15,226170,0.235909658,475984,6122,99374433
2017-11-15,1.42E+15,258219,0.252504579,540593,6237,102617919
2017-11-16,1.40E+15,242563,0.237115242,491482,6154,94022620
2017-11-17,1.40E+15,255402,0.244009729,508590,6235,95398947
2017-11-18,1.39E+15,206670,0.193192225,459679,6215,90912694
2017-11-19,1.40E+15,207546,0.216278827,464563,6266,91173879
2017-11-20,1.49E+15,234513,0.258977096,530141,6176,102852461
2017-11-21,1.47E+15,237062,0.250808118,524044,6174,99909970
2017-11-22,1.46E+15,242021,0.254690001,546489,6242,99737495
2017-11-23,1.52E+15,250344,0.280586043,537068,6190,99217879
2017-11-24,1.55E+15,242143,0.281084459,525529,6234,94157389
2017-11-25,1.56E+15,236910,0.240781538,561166,6201,100403905
2017-11-26,1.55E+15,252960,0.309151893,542484,6169,99314431
2017-11-27,1.54E+15,277958,0.289672974,608695,6086,135031106
2017-11-28,1.51E+15,309063,0.309907217,638989,6094,115664543
2017-11-29,1.52E+15,315598,0.287257956,663579,6108,113238183
2017-11-30,1.54E+15,299340,0.283126543,655457,6151,111082522
2017-12-01,1.55E+15,290214,0.308411013,622720,6127,111410937
2017-12-02,1.57E+15,284287,0.252352132,627785,6053,108672644
2017-12-03,1.51E+15,304550,0.272519061,693808,6029,116513716
2017-12-04,1.53E+15,289747,0.534937834,701834,5671,111950866
2017-12-05,1.48E+15,303039,0.782029316,693090,5588,110640271
2017-12-06,1.47E+15,394106,0.844971013,791746,5473,115886205
2017-12-07,1.48E+15,330894,1.466939128,659068,5798,103778567
2017-12-08,1.55E+15,361582,1.398518848,766411,5803,123142428
2017-12-09,1.55E+15,330732,1.452418757,707223,5813,115627334
2017-12-10,1.55E+15,335622,1.19093569,716575,5781,120616369
2017-12-11,1.58E+15,394749,0.935724549,828899,5749,135411129
2017-12-12,1.56E+15,422384,1.2222886,872340,5715,146344635
2017-12-13,1.61E+15,458001,1.114747962,909631,5659,148353602
2017-12-14,1.64E+15,489334,1.269523059,942559,5694,148324824
2017-12-15,1.72E+15,452357,1.109381798,904346,5800,151843768
2017-12-16,1.74E+15,426989,1.138610494,899857,5775,152396300
2017-12-17,1.75E+15,446682,0.97566078,876574,5781,150105301
2017-12-18,1.78E+15,518226,0.93014734,984021,5781,161476250
2017-12-19,1.74E+15,524427,1.121973957,1092234,5604,176320793
2017-12-20,1.72E+15,518097,1.399948456,986104,5571,153008948
2017-12-21,1.74E+15,558243,1.302515068,1072665,5570,168331460
2017-12-22,1.73E+15,597846,1.014142606,1103523,5652,165025222
2017-12-23,1.79E+15,490621,0.95257205,918881,5947,155801866
2017-12-24,1.82E+15,415698,0.930447895,758234,5981,122725324
2017-12-25,1.85E+15,423259,0.742216577,752361,6032,131021075
2017-12-26,1.87E+15,465903,0.685055411,813510,5992,134421039
2017-12-27,1.86E+15,473086,0.670467793,912752,5966,147560599
2017-12-28,1.92E+15,493568,0.628428834,949503,5889,152910062
2017-12-29,1.87E+15,580463,0.690389654,1090191,5786,170932097
2017-12-30,1.87E+15,611071,0.610850316,1136659,5773,169414692
2017-12-31,1.92E+15,492424,0.682874245,946981,5907,147897158
2018-01-01,1.94E+15,520683,0.639198712,908945,5926,142374716
2018-01-02,1.92E+15,619409,0.788373046,1153936,5750,173404853
2018-01-03,1.90E+15,648959,0.945374528,1238030,5540,179899549
2018-01-04,1.90E+15,716438,1.046724871,1349890,5454,183694448
2018-01-05,1.93E+15,703108,2.397824931,1271577,5341,178476756
2018-01-06,1.90E+15,669883,2.987796973,1226417,5416,176860808
2018-01-07,1.95E+15,614040,2.784565489,1152722,5528,172839037
2018-01-08,2.01E+15,661636,2.748641852,1215473,5408,175771985
2018-01-09,2.01E+15,715228,3.170790096,1256240,5377,177642105
2018-01-10,2.01E+15,671853,3.866405819,1177685,5415,165948166
2018-01-11,2.08E+15,668789,3.011335402,1173965,5430,169948477
2018-01-12,2.10E+15,617412,2.612450139,1118757,5419,166119582
2018-01-13,2.14E+15,654142,2.822330212,1179321,5394,168636663
2018-01-14,2.17E+15,614264,2.81657127,1081593,5625,164942509
2018-01-15,2.19E+15,714821,2.366031648,1206420,5424,172731624
2018-01-16,2.20E+15,735111,1.851616676,1277936,5522,180941870
2018-01-17,2.26E+15,718205,1.640727623,1277083,5572,180681911
2018-01-18,2.28E+15,681654,1.82003169,1205184,5569,176566280
2018-01-19,2.27E+15,543995,1.842493134,1043257,5685,163991686
2018-01-20,2.36E+15,470143,2.079060868,984489,5873,161003466
2018-01-21,2.37E+15,612388,1.36722719,1006530,5810,155696409
2018-01-22,2.40E+15,547707,1.220289787,972911,5883,152154974
2018-01-23,2.40E+15,527571,1.527014619,928494,5898,147917500
2018-01-24,2.46E+15,510896,1.481391816,913668,5961,146436020
2018-01-25,2.51E+15,410985,1.400901963,788515,5910,139895349
2018-01-26,2.50E+15,480908,1.046284653,953429,5910,154005909
2018-01-27,2.49E+15,424637,1.072373175,831992,6004,134787950
2018-01-28,2.50E+15,448123,1.213081553,889104,6017,145593619
2018-01-29,2.59E+15,479352,1.58154929,936845,5925,149592868
2018-01-30,2.60E+15,466227,1.232949162,906578,5867,147989847
2018-01-31,2.63E+15,461713,1.335377988,877284,5883,146496997
2018-02-01,2.67E+15,501671,1.566760744,1008759,5778,152120496
2018-02-02,2.71E+15,499746,1.118725397,981133,5865,153579773
2018-02-03,2.77E+15,433090,1.046888731,814486,5973,134941690
2018-02-04,2.76E+15,425727,0.882529538,800876,5960,135541047
2018-02-05,2.79E+15,457677,0.690744877,875761,6025,145656149
2018-02-06,2.79E+15,452196,0.822313874,888219,5926,147759517
2018-02-07,2.84E+15,418269,0.784000771,818625,5913,135830781
2018-02-08,2.82E+15,353159,0.776892669,681344,6002,120599479
2018-02-09,2.88E+15,399711,0.776552603,789807,5936,131158289
2018-02-10,2.83E+15,420048,0.764083881,848390,6022,133213686
2018-02-11,2.95E+15,382341,0.680685006,773496,5955,124946154
2018-02-12,2.94E+15,421764,0.672707734,829020,5945,131845880
2018-02-13,2.97E+15,365156,0.711285292,745822,5965,121877447
2018-02-14,2.95E+15,387178,0.791780002,746384,5860,128030588
2018-02-15,2.89E+15,400782,0.759138844,777318,5966,130086778
2018-02-16,2.99E+15,346010,0.801821102,704758,5958,123393167
2018-02-17,2.97E+15,349625,0.85736941,772079,6036,132134027
2018-02-18,3.00E+15,343310,0.927480938,756092,5984,124078625
2018-02-19,2.98E+15,392016,0.758446405,811384,5898,128643390
2018-02-20,2.93E+15,392070,0.744287481,886897,5814,141939245
2018-02-21,2.91E+15,363398,0.732734292,850504,5849,136325370
2018-02-22,2.98E+15,343322,0.651175848,761893,5873,127720441
2018-02-23,2.97E+15,329223,0.731242687,733084,5926,123216687
2018-02-24,2.97E+15,293520,0.713293383,732861,5850,124399611
2018-02-25,3.10E+15,294581,0.669566323,690582,5858,120477839
2018-02-26,3.03E+15,368611,0.641439346,737453,5803,125645100
2018-02-27,2.98E+15,355055,0.711039046,694583,5865,122951421
2018-02-28,3.05E+15,373014,0.885265573,720368,5898,127356866
2018-03-01,3.10E+15,342494,0.725590572,684404,5879,121478329
2018-03-02,3.08E+15,355811,0.843572042,744666,5899,133019741
2018-03-03,3.19E+15,309915,0.645689708,673465,5949,125958010
2018-03-04,3.14E+15,287392,0.741555775,643241,5881,122289113
2018-03-05,3.14E+15,358287,0.717221265,752756,5885,132798933
2018-03-06,3.12E+15,364952,0.588341624,712591,5890,127357623
2018-03-07,3.19E+15,467576,0.585210515,783757,5915,135006810
2018-03-08,3.24E+15,347207,0.547839332,690139,5856,125776936
2018-03-09,3.16E+15,335308,0.558753675,650058,5898,120165929
2018-03-10,3.17E+15,318074,0.460326947,591377,5893,111152453
2018-03-11,3.15E+15,288838,0.426390998,608899,5957,110873441
2018-03-12,3.19E+15,322689,0.527684066,677908,5823,126169908
2018-03-13,3.18E+15,333398,0.386581449,699093,5865,122847532
2018-03-14,3.14E+15,359709,0.384614501,671198,5843,117479788
2018-03-15,3.16E+15,339262,0.367500905,654531,5881,117949215
2018-03-16,3.27E+15,313390,0.388228896,654584,5918,115412206
2018-03-17,3.26E+15,279550,0.289981839,593203,5856,101753320
2018-03-18,3.27E+15,318550,0.286236823,684094,5933,119830040
2018-03-19,3.29E+15,356019,0.294693004,703891,5961,123046506
2018-03-20,3.28E+15,329322,0.318978101,661791,5959,119579957
2018-03-21,3.26E+15,352609,0.3536103,697872,5934,122419875
2018-03-22,3.23E+15,345780,0.371081325,619453,6014,107546487
2018-03-23,3.28E+15,401205,0.357358432,677103,5968,112479525
2018-03-24,3.22E+15,354616,0.326142617,613203,6058,100557291
2018-03-25,3.26E+15,266883,0.331332802,526372,6024,90253941
2018-03-26,3.33E+15,318207,0.339713214,626615,6004,107117749
2018-03-27,3.27E+15,292427,0.278276033,584055,5923,102051433
2018-03-28,3.26E+15,272121,0.282300107,579858,5949,102817552
2018-03-29,3.18E+15,293419,0.256444314,583673,5867,102719610
2018-03-30,3.21E+15,316912,0.218832661,633616,5938,109596932
2018-03-31,3.19E+15,273912,0.189806929,584396,6050,102998360
2018-04-01,3.24E+15,273312,0.174064128,545141,6016,95615196
2018-04-02,3.20E+15,306197,0.197646129,598505,6094,102811134
2018-04-03,3.13E+15,327729,0.21350799,645977,5999,114437496
2018-04-04,3.18E+15,330922,0.170611159,628441,6001,112072095
2018-04-05,3.15E+15,372734,0.268577674,695871,6056,118066688
2018-04-06,3.26E+15,350661,0.201161877,647981,6051,107519299
2018-04-07,3.24E+15,293326,0.174151776,535865,6049,95762080
2018-04-08,3.19E+15,309376,0.189360559,595733,6058,104396062
2018-04-09,3.09E+15,319374,0.199732128,609799,5995,111688105
2018-04-10,3.14E+15,339055,0.211882829,571388,6073,106774273
2018-04-11,3.15E+15,371762,0.230049173,609102,5962,110272728
2018-04-12,3.13E+15,353014,0.26999521,692606,5898,125300030
2018-04-13,3.09E+15,374208,0.300553848,730344,5923,125187793
2018-04-14,3.13E+15,301862,0.261020161,611188,5917,107381896
2018-04-15,3.14E+15,302284,0.25132823,619985,5939,110894790
2018-04-16,3.11E+15,334786,0.256852992,664402,5932,123193608
2018-04-17,3.13E+15,339274,0.243240761,742823,5835,130120574
2018-04-18,3.08E+15,339669,0.314702398,703293,5795,130238732
2018-04-19,3.10E+15,360686,0.309670878,814318,5810,146447319
2018-04-20,3.07E+15,369410,0.329563041,832220,5715,150796219
2018-04-21,3.17E+15,411088,0.282216805,746104,5883,127495796
2018-04-22,3.15E+15,414637,0.296658019,748858,5902,136180859
2018-04-23,3.18E+15,428031,0.312669846,802870,5776,140015382
2018-04-24,3.13E+15,417221,0.413241576,816357,5720,146428617
2018-04-25,3.13E+15,365985,0.350169863,799014,5818,146294657
2018-04-26,3.21E+15,358539,0.386356876,793873,5867,144945254
2018-04-27,3.15E+15,346176,0.41319198,764479,5714,137822618
2018-04-28,3.13E+15,341856,0.456871237,775321,5713,140281616
2018-04-29,3.19E+15,318879,0.497318558,756651,5833,143806146
2018-04-30,3.20E+15,361168,0.485698892,778133,5724,148201676
2018-05-01,3.11E+15,328660,0.418455863,713839,5622,138403564
2018-05-02,3.11E+15,363346,0.415207993,787722,5712,146376738
2018-05-03,3.16E+15,394992,0.528213073,839586,5681,149623503
2018-05-04,3.20E+15,644295,0.427281516,1000526,5632,156377573
2018-05-05,3.24E+15,396427,0.440660615,789261,5741,138377788
2018-05-06,3.27E+15,389642,0.435285443,691273,5763,129020462
2018-05-07,3.33E+15,419460,0.420117973,789863,5835,134721240
2018-05-08,3.34E+15,410500,0.454899485,820098,5734,136808576
2018-05-09,3.27E+15,390605,0.470434797,831127,5730,140440996
2018-05-10,3.28E+15,390235,0.626175526,854827,5683,152021290
2018-05-11,3.29E+15,392464,0.593698045,826099,5751,144454990
2018-05-12,3.37E+15,383918,0.433546864,788487,5754,136668318
2018-05-13,3.40E+15,359287,0.500828882,762439,5760,135474754
2018-05-14,3.32E+15,398274,0.604750697,801788,5638,146202108
2018-05-15,3.26E+15,400914,0.610627661,779210,5732,142106913
2018-05-16,3.29E+15,414046,0.62750694,807257,5645,139676937
2018-05-17,3.28E+15,412529,0.631635129,835761,5704,140366383
2018-05-18,3.24E+15,419826,0.623463056,831831,5636,138888487
2018-05-19,3.25E+15,424160,0.543794343,846288,5603,137044728
2018-05-20,3.31E+15,389190,0.555073012,777283,5642,134050623
2018-05-21,3.34E+15,397743,0.594307813,802211,5687,145475141
2018-05-22,3.32E+15,422824,0.602647891,822409,5601,141851150
2018-05-23,3.25E+15,410012,0.541798778,833377,5655,146831736
2018-05-24,3.22E+15,418876,0.532235325,811167,5563,141675376
2018-05-25,3.20E+15,394287,0.497271413,800838,5635,140479317
2018-05-26,3.25E+15,375954,0.457337576,761932,5719,131838044
2018-05-27,3.22E+15,403522,0.401846141,776024,5634,132382504
2018-05-28,3.23E+15,445032,0.514585737,861002,5704,144962259
2018-05-29,3.22E+15,409323,0.573274488,812183,5649,143102184
2018-05-30,3.18E+15,413796,0.590908961,817167,5609,143075140
2018-05-31,3.25E+15,416236,0.742055677,832842,5647,154932441
2018-06-01,3.15E+15,371923,0.668541219,758242,5624,141328739
2018-06-02,3.19E+15,404528,0.464617123,768017,5632,138640228
2018-06-03,3.20E+15,415409,0.451002225,809997,5619,140906916
2018-06-04,3.16E+15,397194,0.539790146,807165,5672,149892618
2018-06-05,3.23E+15,380350,0.49363884,780654,5591,144514502
2018-06-06,3.16E+15,374278,0.64962692,754070,5633,137310031
2018-06-07,3.16E+15,403581,0.490239625,775828,5639,137499719
2018-06-08,3.20E+15,364344,0.456662449,720017,5679,139209862
2018-06-09,3.30E+15,388714,0.340147967,769427,5610,135556734
2018-06-10,3.25E+15,406267,0.296786651,771280,5641,138541069
2018-06-11,3.24E+15,403546,0.325860786,768985,5657,138427840
2018-06-12,3.33E+15,355775,0.296899674,770199,5714,135316991
2018-06-13,3.27E+15,385073,0.28953794,797637,5752,146377790
2018-06-14,3.28E+15,372165,0.353653075,765916,5765,139216504
2018-06-15,3.26E+15,385201,0.383190422,763803,5782,130759425
2018-06-16,3.29E+15,310364,0.447412867,639775,5871,154717806
2018-06-17,3.30E+15,321511,0.237517773,648548,5915,118108440
2018-06-18,3.40E+15,344436,0.246225132,695753,5954,131428356
2018-06-19,3.44E+15,375907,0.321234481,778765,5802,145050212
2018-06-20,3.38E+15,388423,0.291762221,803076,5823,148993739
2018-06-21,3.46E+15,384776,0.290771254,752035,5872,138145529
2018-06-22,3.43E+15,383910,0.530097287,770457,5820,142592486
2018-06-23,3.39E+15,340250,0.244080189,675918,5922,121940172
2018-06-24,3.45E+15,359869,0.348207527,671994,5881,123314242
2018-06-25,3.40E+15,492435,0.289248478,837265,5665,142918020
2018-06-26,3.36E+15,372838,0.229503898,732170,5748,137149795
2018-06-27,3.49E+15,382764,0.222269777,771938,5847,143719298
2018-06-28,3.41E+15,393195,0.208638391,744784,5762,137859501
2018-06-29,3.38E+15,379509,0.233076494,735092,5764,133831720
2018-06-30,3.47E+15,261580,1.426259085,632981,5870,129637689
2018-07-01,3.36E+15,197829,2.349033682,622633,5837,131329959
2018-07-02,3.39E+15,235721,5.700029262,489559,5929,116357723
2018-07-03,3.46E+15,232199,3.237123409,573532,5809,128070565
2018-07-04,3.44E+15,230552,3.065402118,447112,5837,110408253
2018-07-05,3.56E+15,253141,2.267582036,527586,5808,124825511
2018-07-06,3.51E+15,219912,3.425129628,459075,5844,112328149
2018-07-07,3.53E+15,217148,2.992797203,484105,5820,114711948
2018-07-08,3.45E+15,272797,1.063987223,631505,5697,127418442
2018-07-09,3.53E+15,290889,0.793643853,651926,5855,130928929
