Date,Average Difficulty,Active Addresses Count,Average Transaction Fees,Transactions Count,Block Count,Block Size (bytes)
11/9/2017,1.42059E+15,243554,0.222171423,467172,6195,86289173
11/10/2017,1.42959E+15,233966,0.19108772,457427,6300,84500680
11/11/2017,1.43774E+15,194696,0.186744254,394378,6267,79370301
11/12/2017,1.48733E+15,213315,0.210592389,434380,6245,82639583
11/13/2017,1.45678E+15,214384,0.220279448,443176,6225,89907928
11/14/2017,1.44876E+15,226170,0.235909658,475984,6122,99374433
11/15/2017,1.42436E+15,258219,0.252504579,540593,6237,102617919
11/16/2017,1.39714E+15,242563,0.237115242,491482,6154,94022620
11/17/2017,1.40322E+15,255402,0.244009729,508590,6235,95398947
11/18/2017,1.38974E+15,206670,0.193192225,459679,6215,90912694
11/19/2017,1.40232E+15,207546,0.216278827,464563,6266,91173879
11/20/2017,1.48921E+15,234513,0.258977096,530141,6176,102852461
11/21/2017,1.47146E+15,237062,0.250808118,524044,6174,99909970
11/22/2017,1.46285E+15,242021,0.254690001,546489,6242,99737495
11/23/2017,1.51889E+15,250344,0.280586043,537068,6190,99217879
11/24/2017,1.54935E+15,242143,0.281084459,525529,6234,94157389
11/25/2017,1.56207E+15,236910,0.240781538,561166,6201,100403905
11/26/2017,1.55338E+15,252960,0.309151893,542484,6169,99314431
11/27/2017,1.53721E+15,277958,0.289672974,608695,6086,135031106
11/28/2017,1.50804E+15,309063,0.309907217,638989,6094,115664543
11/29/2017,1.52078E+15,315598,0.287257956,663579,6108,113238183
11/30/2017,1.54275E+15,299340,0.283126543,655457,6151,111082522
12/1/2017,1.54695E+15,290214,0.308411013,622720,6127,111410937
12/2/2017,1.57029E+15,284287,0.252352132,627785,6053,108672644
12/3/2017,1.50975E+15,304550,0.272519061,693808,6029,116513716
12/4/2017,1.53085E+15,289747,0.534937834,701834,5671,111950866
12/5/2017,1.47749E+15,303039,0.782029316,693090,5588,110640271
12/6/2017,1.46845E+15,394106,0.844971013,791746,5473,115886205
12/7/2017,1.48072E+15,330894,1.466939128,659068,5798,103778567
12/8/2017,1.55289E+15,361582,1.398518848,766411,5803,123142428
12/9/2017,1.5532E+15,330732,1.452418757,707223,5813,115627334
12/10/2017,1.54943E+15,335622,1.19093569,716575,5781,120616369
12/11/2017,1.57571E+15,394749,0.935724549,828899,5749,135411129
12/12/2017,1.55626E+15,422384,1.2222886,872340,5715,146344635
12/13/2017,1.61274E+15,458001,1.114747962,909631,5659,148353602
12/14/2017,1.6413E+15,489334,1.269523059,942559,5694,148324824
12/15/2017,1.71628E+15,452357,1.109381798,904346,5800,151843768
12/16/2017,1.74033E+15,426989,1.138610494,899857,5775,152396300
12/17/2017,1.75469E+15,446682,0.97566078,876574,5781,150105301
12/18/2017,1.78375E+15,518226,0.93014734,984021,5781,161476250
12/19/2017,1.73646E+15,524427,1.121973957,1092234,5604,176320793
12/20/2017,1.71615E+15,518097,1.399948456,986104,5571,153008948
12/21/2017,1.74154E+15,558243,1.302515068,1072665,5570,168331460
12/22/2017,1.7258E+15,597846,1.014142606,1103523,5652,165025222
12/23/2017,1.79236E+15,490621,0.95257205,918881,5947,155801866
12/24/2017,1.82264E+15,415698,0.930447895,758234,5981,122725324
12/25/2017,1.85323E+15,423259,0.742216577,752361,6032,131021075
12/26/2017,1.86583E+15,465903,0.685055411,813510,5992,134421039
12/27/2017,1.86402E+15,473086,0.670467793,912752,5966,147560599
12/28/2017,1.91642E+15,493568,0.628428834,949503,5889,152910062
12/29/2017,1.87055E+15,580463,0.690389654,1090191,5786,170932097
12/30/2017,1.87464E+15,611071,0.610850316,1136659,5773,169414692
12/31/2017,1.91956E+15,492424,0.682874245,946981,5907,147897158
1/1/2018,1.93507E+15,520683,0.639198712,908945,5926,142374716
1/2/2018,1.92473E+15,619409,0.788373046,1153936,5750,173404853
1/3/2018,1.90434E+15,648959,0.945374528,1238030,5540,179899549
1/4/2018,1.89545E+15,716438,1.046724871,1349890,5454,183694448
